in_unit,T,angst,cm,dm,g,inch,kg,km,m,mg,mm,mug,mum,ng,nm
T,1,,,,1.00E-06,,0.001,,,1.00E-09,,1.00E-12,,1.00E-15,
kg,1000,,,,0.001,,1,,,1.00E-06,,1.00E-09,,1.00E-12,
g,1000000,,,,1,,1000,,,0.001,,1.00E-06,,1.00E-09,
mg,1000000000,,,,1000,,1000000,,,1,,0.001,,1.00E-06,
mug,1E+12,,,,1000000,,1000000000,,,1000,,1,,0.001,
ng,1E+15,,,,1000000000,,1E+12,,,1000000,,1000,,1,
km,,1.00E-13,1.00E-05,0.0001,,2.54E-05,,1,0.001,,1.00E-06,,1.00E-09,,1.00E-12
m,,1.00E-10,0.01,0.1,,0.0254,,0.001,1,,0.001,,1.00E-06,,1.00E-09
dm,,1.00E-09,0.1,1,,0.254,,0.0001,0.1,,0.01,,1.00E-05,,1.00E-08
cm,,1.00E-08,1,0.1,,2.54,,1.00E-05,0.01,,0.1,,0.0001,,1.00E-07
mm,,1.00E-07,0.1,0.01,,25.4,,1.00E-06,0.001,,1,,0.001,,1.00E-06
mum,,0.0001,0.0001,1.00E-05,,25400,,1.00E-09,1.00E-06,,0.001,,1,,0.001
nm,,0.1,1.00E-07,1.00E-08,,25400000,,1.00E-12,1.00E-09,,1.00E-06,,0.001,,1
angst,,1,1.00E-08,1.00E-09,,254000000,,1.00E-13,1.00E-10,,1.00E-07,,0.0001,,0.1
inch,,254000000,2.54,0.254,,1,,2.54E-05,0.0254,,25.4,,25400,,25400000